Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
LEGO Dimensions,XOne,2015,Action,Warner Bros. Interactive Entertainment,0.47,0.18,0,0.07,0.72
Plants vs Zombies: Garden Warfare,XOne,2014,Shooter,Electronic Arts,0.39,0.25,0,0.06,0.71
The Crew,XOne,2014,Racing,Ubisoft,0.32,0.34,0,0.06,0.71
The LEGO Movie Videogame,PS4,2014,Action-Adventure,Warner Bros. Interactive Entertainment,0.26,0.32,0.01,0.11,0.71
Wolfenstein II: The New Colossus,XOne,2017,Shooter,Bethesda Softworks,0.45,0.19,0,0.07,0.7
Marvel vs. Capcom: Infinite,PS4,2017,Fighting,Capcom,0.36,0.19,0.04,0.11,0.7
Need for Speed Rivals,XOne,2013,Racing,Electronic Arts,0.45,0.19,0,0.07,0.7
LEGO Worlds,XOne,2017,Misc,Warner Bros. Interactive Entertainment,0.28,0.35,0,0.05,0.69
Yakuza 6,PS4,2016,Adventure,Sega,0.16,0.1,0.38,0.05,0.69
Dark Souls II,PS4,2015,Role-Playing,Namco Bandai Games,0.27,0.23,0.09,0.1,0.69
The Evil Within,XOne,2014,Misc,Bethesda Softworks,0.36,0.27,0,0.06,0.69
Borderlands: The Handsome Collection,XOne,2015,Shooter,2K Games,0.49,0.13,0,0.07,0.68
F1 2015,PS4,2015,Racing,Codemasters,0.1,0.45,0.04,0.1,0.68
METRO 2033,PS4,2014,Shooter,Deep Silver,0.22,0.31,0.05,0.1,0.68
Evolve,XOne,2015,Shooter,2K Games,0.4,0.2,0,0.06,0.67
Rocksmith 2014,PS4,2014,Music,Ubisoft,0.38,0.17,0,0.12,0.67
WWE 2K18,XOne,2017,Sports,2K Sports,0.35,0.25,0,0.06,0.66
NHL 16,PS4,2015,Sports,EA Sports,0.38,0.16,0,0.12,0.66
Plants vs Zombies: Garden Warfare,PS4,2014,Shooter,Electronic Arts,0.24,0.3,0.01,0.11,0.66
Tomb Raider (2013),XOne,2014,Action-Adventure,Square Enix,0.38,0.22,0,0.06,0.66
Tales of Berseria,PS4,2016,Role-Playing,Namco Bandai Games,0.22,0.1,0.26,0.07,0.65
One Piece: Burning Blood,PS4,2016,Fighting,Namco Bandai Games,0.21,0.26,0.09,0.09,0.65
Yakuza Zero: The Place of Oath,PS4,2015,Adventure,Sega,0.22,0.16,0.19,0.08,0.65
The LEGO Movie Videogame,XOne,2014,Action-Adventure,Warner Bros. Interactive Entertainment,0.42,0.17,0,0.06,0.65
Batman: Return to Arkham,PS4,2016,Action,Warner Bros. Interactive Entertainment,0.15,0.39,0.01,0.1,0.64
Plants vs. Zombies: Garden Warfare 2,PS4,2016,Shooter,Electronic Arts,0.22,0.31,0,0.1,0.63
WWE 2K16,XOne,2015,Sports,Take-Two Interactive,0.34,0.24,0,0.06,0.63
F1 2017,PS4,2017,Racing,Koch Media,0.04,0.47,0.02,0.09,0.62
South Park: The Fractured But Whole,XOne,2017,Role-Playing,Ubisoft,0.4,0.17,0,0.06,0.62
World of Final Fantasy,PS4,2016,Role-Playing,Square Enix,0.24,0.21,0.09,0.09,0.62
NHL 15,PS4,2014,Sports,EA Sports,0.32,0.19,0,0.11,0.62
Kinect Sports Rivals,XOne,2014,Sports,Microsoft Studios,0.3,0.25,0.02,0.05,0.62
LEGO The Hobbit,PS4,2014,Action-Adventure,Warner Bros. Interactive Entertainment,0.14,0.39,0,0.1,0.62
Knowledge is Power,PS4,2017,Party,Sony Interactive Entertainment,0.05,0.47,0,0.09,0.61
EA Sports UFC 2,XOne,2016,Sports,EA Sports,0.36,0.19,0,0.06,0.61
WWE 2K15,XOne,2014,Sports,2K Sports,0.32,0.23,0,0.05,0.61
L.A. Noire,PS4,2017,Adventure,Rockstar Games,0.18,0.32,0,0.1,0.6
NHL 17,XOne,2016,Sports,EA Sports,0.52,0.01,0,0.06,0.6
Hidden Agenda,PS4,2017,Adventure,Sony Interactive Entertainment,0.08,0.42,0,0.09,0.59
Call of Duty: Modern Warfare Remastered,PS4,2017,Shooter,Activision,0.17,0.3,0.03,0.09,0.58
Tekken 7,XOne,2017,Fighting,Namco Bandai Games,0.3,0.23,0,0.05,0.58
Dragon Quest Builders: Revive Alefgard,PS4,2016,Role-Playing,Square Enix,0.12,0.17,0.24,0.06,0.58
NHL 18,PS4,2017,Sports,EA Sports,0.31,0.16,0,0.1,0.57
The Lego Ninjago Movie Videogame,PS4,2017,Action,Warner Bros. Interactive Entertainment,0.16,0.32,0,0.09,0.57
LEGO Marvel Super Heroes 2,XOne,2017,Action,Warner Bros. Interactive Entertainment,0.32,0.2,0,0.05,0.57
WWE 2K17,XOne,2016,Sports,2K Games,0.26,0.26,0,0.05,0.57
Resident Evil: Revelations 2,PS4,2015,Action,Capcom,0.14,0.25,0.11,0.07,0.57
Rock Band 4,PS4,2015,Music,Harmonix Music Systems,0.41,0.06,0,0.1,0.57
DOOM VFR,PS4,2017,Shooter,Bethesda Softworks,0.22,0.25,0,0.09,0.56
Sonic Forces,PS4,2017,Platform,Sega,0.15,0.31,0.01,0.09,0.56
Everybody's Golf,PS4,2017,Sports,Sony Interactive Entertainment,0.12,0.22,0.17,0.06,0.56
The Amazing Spider-Man 2 (2014),PS4,2014,Action-Adventure,Activision,0.2,0.26,0.02,0.09,0.56
Project CARS 2,PS4,2017,Racing,Namco Bandai Games,0.1,0.35,0.02,0.08,0.55
Sniper Elite 4,PS4,2017,Shooter,Rebellion Developments,0.21,0.25,0,0.09,0.55
Rory McIlroy PGA Tour,PS4,2015,Sports,Electronic Arts,0.19,0.27,0,0.09,0.55
Disney Infinity 2.0: Marvel Super Heroes,XOne,2014,Action-Adventure,Disney Interactive Studios,0.35,0.15,0,0.05,0.55
Lords of the Fallen,PS4,2014,Role-Playing,Square Enix,0.2,0.24,0.02,0.09,0.55
Just Dance 2015,XOne,2014,Music,Ubisoft,0.36,0.13,0,0.05,0.54
NHL 17,PS4,2016,Sports,EA Sports,0.32,0.11,0,0.09,0.52
One Piece: Pirate Warriors 3,PS4,2015,Action,Namco Bandai Games,0.11,0.22,0.11,0.06,0.52
Skylanders: Trap Team,PS4,2014,Platform,Activision,0.25,0.18,0,0.09,0.52
Alien: Isolation,XOne,2014,Adventure,Sega,0.23,0.25,0,0.04,0.52
Halo Wars 2,XOne,2017,Strategy,Microsoft Studios,0.31,0.15,0,0.05,0.51
DiRT Rally,PS4,2016,Racing,Codemasters,0.13,0.3,0,0.08,0.51
NHL 16,XOne,2015,Sports,EA Sports,0.41,0.05,0,0.05,0.51
Homefront: The Revolution,PS4,2016,Shooter,Deep Silver,0.11,0.29,0.04,0.07,0.5
Attack on Titan (KOEI),PS4,2016,Action,Tecmo Koei,0.08,0.24,0.12,0.06,0.5
Lego Star Wars: The Force Awakens,XOne,2016,Action-Adventure,Warner Bros. Interactive Entertainment,0.24,0.22,0,0.04,0.5
Mad Max (2013),XOne,2015,Action,Warner Bros. Interactive Entertainment,0.29,0.16,0,0.05,0.5
DiRT 4,PS4,2017,Racing,Codemasters,0.1,0.3,0.02,0.07,0.49
Friday the 13th: The Game,PS4,2017,Action,Gun Media,0.29,0.09,0.03,0.08,0.48
Farpoint,PS4,2017,Shooter,Sony Interactive Entertainment,0,0.38,0.04,0.06,0.48
Battleborn,PS4,2016,Shooter,2K Games,0.25,0.12,0.03,0.08,0.48
BioShock The Collection,XOne,2016,Shooter,2K Games,0.35,0.08,0,0.05,0.48
Steep,XOne,2016,Sports,Ubisoft,0.24,0.2,0,0.04,0.48
LEGO Marvel's Avengers,XOne,2016,Action,Warner Bros. Interactive Entertainment,0.26,0.18,0,0.04,0.48
Wolfenstein: The Old Blood,PS4,2015,Shooter,Bethesda Softworks,0.13,0.25,0.02,0.07,0.48
EA Sports UFC,XOne,2014,Fighting,Electronic Arts,0.3,0.13,0,0.04,0.48
Thief 4,XOne,2014,Action,Square Enix,0.26,0.17,0,0.04,0.48
The Walking Dead: A Telltale Games Series,PS4,2014,Adventure,Telltale Games,0.12,0.26,0.03,0.07,0.48
Zoo Tycoon (2013),XOne,2013,Simulation,Microsoft Studios,0.25,0.18,0,0.04,0.48
Just Dance 2014,XOne,2013,Music,Ubisoft,0.31,0.12,0,0.04,0.48
Knack 2,PS4,2017,Platform,Sony Interactive Entertainment,0.14,0.25,0.01,0.07,0.47
Dragon Ball: Xenoverse 2,XOne,2016,Action,Namco Bandai Games,0.33,0.09,0,0.05,0.47
Dragon Quest Heroes II: Twin Kings and the Prophecy's End,PS4,2016,Action,Square Enix,0.05,0.09,0.3,0.03,0.47
TrackMania Turbo,PS4,2016,Racing,Ubisoft,0.04,0.35,0,0.07,0.47
Deadpool,PS4,2015,Action,Activision,0.26,0.13,0,0.08,0.47
Just Dance 2014,PS4,2013,Music,Ubisoft,0.21,0.18,0,0.08,0.47
ARK: Survival Evolved,XOne,2017,Action-Adventure,Studio Wildcard,0.3,0.12,0,0.04,0.46
Disney Infinity 3.0,XOne,2015,Action,Disney Interactive Studios,0.3,0.12,0,0.04,0.46
Prey (2017),XOne,2017,Shooter,Bethesda Softworks,0.21,0.2,0,0.04,0.45
Yakuza Kiwami,PS4,2016,Adventure,Sega,0.13,0.07,0.21,0.04,0.45
Star Ocean 5: Integrity and Faithlessness,PS4,2016,Role-Playing,Square Enix,0.1,0.13,0.16,0.05,0.45
Skylanders: SuperChargers,PS4,2015,Action-Adventure,Activision,0.29,0.09,0,0.08,0.45
Tales of Zestiria,PS4,2015,Role-Playing,Namco Bandai Games,0.18,0.16,0.04,0.07,0.45
Skylanders: Trap Team,XOne,2014,Platform,Activision,0.34,0.07,0,0.04,0.45
Sleeping Dogs,PS4,2014,Action,Square Enix,0.16,0.21,0,0.07,0.44
Lego Batman 3: Beyond Gotham,XOne,2014,Action,Warner Bros. Interactive Entertainment,0.24,0.17,0,0.04,0.44
Skylanders SWAP Force,PS4,2013,Misc,Activision,0.23,0.14,0,0.08,0.44
Skylanders Imaginators,PS4,2016,Platform,Activision,0.18,0.18,0,0.07,0.43
Sniper Elite 3,XOne,2014,Shooter,505 Games,0.27,0.12,0,0.04,0.43
Trials Fusion,PS4,2014,Misc,Ubisoft,0.13,0.23,0.01,0.07,0.43
Rocksmith 2014,XOne,2014,Music,Ubisoft,0.31,0.08,0,0.04,0.43
Hello Neighbor,XOne,2017,Action,Gearbox Software,0.27,0.11,0,0.04,0.42
Mirror's Edge 2,PS4,2016,Platform,Electronic Arts,0.13,0.19,0.03,0.06,0.42
Dishonored,PS4,2015,Action,Bethesda Softworks,0.12,0.21,0.02,0.06,0.42
Saints Row IV,PS4,2015,Action,Deep Silver,0.15,0.18,0.03,0.06,0.42
NHL 15,XOne,2014,Sports,EA Sports,0.32,0.06,0,0.04,0.42
Destiny: The Collection,XOne,2016,Shooter,Activision,0.25,0.12,0,0.04,0.41
Sword Art Online: Hollow Realization,PS4,2016,Role-Playing,Namco Bandai Games,0.18,0.06,0.12,0.05,0.41
Project CARS,XOne,2015,Racing,Bandai Namco Games,0.21,0.16,0,0.04,0.41
Farming Simulator 2015,PS4,2015,Simulation,Koch Media,0.13,0.22,0,0.07,0.41
Just Dance 2015,PS4,2014,Music,Ubisoft,0.21,0.13,0,0.07,0.41
Skylanders: SuperChargers,XOne,2015,Action-Adventure,Activision,0.31,0.05,0,0.04,0.4
The Evil Within II,XOne,2017,Action,Bethesda Softworks,0.25,0.1,0,0.04,0.39
NHL 18,XOne,2017,Sports,EA Sports,0.32,0.03,0,0.04,0.39
Little Nightmares,PS4,2017,Platform,Namco Bandai Games,0.18,0.12,0.02,0.06,0.39
Deus Ex: Mankind Divided,XOne,2016,Role-Playing,Square Enix,0.25,0.11,0,0.04,0.39
Batman: Arkham VR,PS4,2016,Action,Warner Bros. Interactive Entertainment,0.32,0,0,0.07,0.39
Just Dance 2016,PS4,2015,Music,Ubisoft,0.19,0.13,0,0.07,0.39
Tropico 5,PS4,2015,Simulation,Kalypso Media,0.07,0.18,0.08,0.05,0.38
Just Dance 2016,XOne,2015,Music,Ubisoft,0.3,0.04,0,0.04,0.38
Rayman Legends,XOne,2014,Platform,Ubisoft,0.13,0.22,0,0.03,0.38
Yakuza Kiwami 2,PS4,2017,Action,Sega,0.08,0.06,0.19,0.03,0.37
Resident Evil Zero,PS4,2016,Action-Adventure,Capcom,0.07,0.18,0.07,0.05,0.37
Life is Strange,PS4,2016,Adventure,Square Enix,0.11,0.16,0.05,0.05,0.37
Okami,PS4,2017,Action,Capcom,0.16,0.12,0.03,0.06,0.36
Sniper: Ghost Warrior 3,PS4,2017,Shooter,City Interactive,0.14,0.15,0.03,0.06,0.36
Sword Art Online: Lost Song,PS4,2015,Role-Playing,Namco Bandai Games,0.19,0.11,0,0.06,0.36
Gravity Rush 2,PS4,2017,Action-Adventure,Sony Interactive Entertainment,0.13,0.05,0.13,0.04,0.35
Naruto Shippuden: Ultimate Ninja Storm 4,XOne,2016,Fighting,Namco Bandai Games,0.25,0.07,0,0.03,0.35
Dragon Ball: XenoVerse,XOne,2015,Fighting,Namco Bandai Games,0.21,0.11,0,0.03,0.35
Disgaea 5: Alliance of Vengeance,PS4,2015,Role-Playing,NIS America,0.15,0.08,0.07,0.05,0.35
Dead or Alive 5,PS4,2015,Fighting,Tecmo Koei,0.09,0.13,0.09,0.04,0.35
Skylanders SWAP Force,XOne,2013,Misc,Activision,0.25,0.07,0,0.03,0.35
Marvel vs. Capcom: Infinite,XOne,2017,Fighting,Capcom,0.26,0.05,0,0.03,0.34
The King of Fighters XIV,PS4,2016,Fighting,Deep Silver,0.21,0.02,0.06,0.05,0.34
Odin Sphere: Leifthrasir,PS4,2016,Role-Playing,NIS America,0.14,0.07,0.09,0.04,0.34
Just Dance 2017,XOne,2016,Music,Ubisoft,0.25,0.05,0,0.03,0.34
Divinity: Original Sin,PS4,2015,Role-Playing,Focus Home Interactive,0.13,0.13,0.04,0.05,0.34
Dishonored: Death of the Outsider,PS4,2017,Action,Bethesda Softworks,0.1,0.18,0,0.05,0.33
The Lego Ninjago Movie Videogame,XOne,2017,Action,Warner Bros. Interactive Entertainment,0.21,0.09,0,0.03,0.33
Farming Simulator 17,XOne,2016,Simulation,Focus Home Interactive,0.19,0.11,0,0.03,0.33
Valkyria Chronicles,PS4,2016,Role-Playing,Sega,0.14,0.08,0.08,0.04,0.33
Murdered: Soul Suspect,PS4,2014,Action-Adventure,Square Enix,0.09,0.17,0.02,0.05,0.33
Payday 2,PS4,2015,Shooter,505 Games,0.12,0.14,0,0.05,0.32
Sonic Mania,PS4,2017,Platform,Sega,0.1,0.15,0.01,0.05,0.31
Hitman (2016),XOne,2017,Action,Square Enix,0.2,0.08,0,0.03,0.31
XCOM 2,PS4,2016,Strategy,2K Games,0.16,0.1,0,0.05,0.31
UEFA Euro 2016,PS4,2016,Sports,Konami Digital Entertainment,0,0.22,0.05,0.04,0.31
DmC: Devil May Cry,PS4,2015,Action,Capcom,0.12,0.13,0,0.05,0.31
J Stars Victory Vs.,PS4,2015,Fighting,Namco Bandai Games,0.11,0.14,0,0.05,0.31
METRO 2033,XOne,2014,Shooter,Deep Silver,0.15,0.14,0,0.03,0.31
Dynasty Warriors 8: Xtreme Legends,PS4,2014,Misc,Tecmo Koei,0.09,0.12,0.06,0.04,0.31
Cities: Skylines,PS4,2017,Simulation,Koch Media,0.15,0.07,0.04,0.05,0.3
Sniper Elite 4,XOne,2017,Shooter,Rebellion Developments,0.18,0.09,0,0.03,0.3
Just Dance 2018,PS4,2017,Music,Ubisoft,0.1,0.15,0,0.05,0.3
LEGO City Undercover,XOne,2017,Platform,Warner Bros. Interactive Entertainment,0.15,0.12,0,0.03,0.3
Saint Seiya: Soldiers' Soul,PS4,2015,Fighting,Namco Bandai Games,0,0.21,0.05,0.04,0.3
Final Fantasy Type-0,XOne,2015,Role-Playing,Square Enix,0.2,0.07,0,0.03,0.3
The Walking Dead: Season Two,PS4,2014,Misc,Square Enix,0.13,0.09,0.03,0.05,0.3
Sonic Forces,XOne,2017,Platform,Sega,0.15,0.11,0,0.03,0.29
Yooka-Laylee,PS4,2017,Platform,Sold Out,0.09,0.16,0,0.05,0.29
Cars 3: Driven to Win,PS4,2017,Racing,Warner Bros. Interactive Entertainment,0.06,0.18,0.01,0.04,0.29
Metal Gear Solid V: The Definitive Experience,PS4,2016,Action,Konami Digital Entertainment,0.13,0.08,0.03,0.04,0.29
Sherlock Holmes: Crimes & Punishments,PS4,2014,Adventure,Focus Home Interactive,0.1,0.14,0,0.05,0.29
Spintires: MudRunner,PS4,2017,Simulation,Focus Home Interactive,0.11,0.12,0,0.05,0.28
Gundam Versus,PS4,2017,Action,Namco Bandai Games,0.08,0,0.18,0.02,0.28
Star Trek Bridge Crew VR,PS4,2017,Action,Ubisoft,0.11,0.12,0,0.05,0.28
Battleborn,XOne,2016,Shooter,2K Games,0.2,0.05,0,0.03,0.28
The Heavy Rain and Beyond: Two Souls Collection,PS4,2016,Action,Sony Computer Entertainment,0,0.24,0,0.04,0.28
Rory McIlroy PGA Tour,XOne,2015,Sports,Electronic Arts,0.16,0.09,0,0.02,0.28
Dark Souls II,XOne,2015,Role-Playing,Namco Bandai Games,0.19,0.07,0,0.03,0.28
Onechanbara Z2: Chaos,PS4,2014,Action,NIS America,0.16,0.03,0.05,0.04,0.28
Friday the 13th: The Game,XOne,2017,Action,Gun Media,0.21,0.03,0,0.03,0.27
Minecraft: Story Mode - Season Two,XOne,2017,Adventure,Telltale Games,0.17,0.08,0,0.02,0.27
Skylanders Imaginators,XOne,2016,Platform,Activision,0.19,0.05,0,0.03,0.27
Fate/Extella: The Umbral Star,PS4,2016,Action,PQube,0.12,0,0.12,0.03,0.27
Robinson: The Journey,PS4,2016,Action-Adventure,Sony Interactive Entertainment,0.14,0.09,0,0.05,0.27
DriveClub VR,PS4,2016,Racing,Sony Interactive Entertainment,0.12,0.09,0.01,0.04,0.27
Killing Floor 2 ,PS4,2016,Shooter,Tripwire Interactive,0.19,0.03,0,0.05,0.27
Assassin's Creed The Ezio Collection,XOne,2016,Action,Ubisoft,0.13,0.12,0,0.02,0.27
Metal Gear Solid: Ground Zeroes,XOne,2014,Action-Adventure,Konami Digital Entertainment,0.13,0.13,0,0.02,0.27
LEGO The Hobbit,XOne,2014,Action-Adventure,Warner Bros. Interactive Entertainment,0.13,0.13,0,0.02,0.27
NBA Live 14,PS4,2013,Sports,EA Sports,0.17,0.05,0,0.05,0.27
Ultimate Marvel vs. Capcom 3,PS4,2017,Fighting,Capcom,0.19,0,0.02,0.04,0.26
ReCore,XOne,2016,Action-Adventure,Microsoft Studios,0.16,0.06,0.01,0.02,0.26
New Danganronpa V3: Minna no Koroshiai Shin Gakki,PS4,2017,Adventure,NIS America,0.09,0.05,0.07,0.03,0.25
L.A. Noire,XOne,2017,Adventure,Rockstar Games,0.14,0.09,0,0.02,0.25
F1 2015,XOne,2015,Racing,Codemasters,0.09,0.15,0,0.02,0.25
NBA Live 15,PS4,2014,Sports,Electronic Arts,0.16,0.04,0,0.04,0.25
Samurai Warriors 4,PS4,2014,Fighting,Tecmo Koei,0.08,0.07,0.06,0.03,0.25
Trials Fusion,XOne,2014,Racing,Ubisoft,0.12,0.1,0,0.02,0.25
Call of Duty: Modern Warfare Remastered,XOne,2017,Shooter,Activision,0.16,0.06,0,0.02,0.24
theHunter: Call of the Wild,PS4,2017,Shooter,Astragon,0.19,0,0,0.04,0.24
The Elder Scrolls Online: Morrowind,PS4,2017,MMO,Bethesda Softworks,0.11,0.09,0,0.04,0.24
NBA Live 18,PS4,2017,Sports,EA Sports,0.2,0,0,0.05,0.24
.hack//G.U. Last Recode,PS4,2017,Role-Playing,Namco Bandai Games,0.1,0.04,0.08,0.03,0.24
Digimon World: Next Order,PS4,2017,Role-Playing,Namco Bandai Games,0.13,0.05,0.02,0.04,0.24
The Escapists 2,PS4,2017,Action,Sold Out,0.04,0.16,0,0.04,0.24
Jikkyou Powerful Pro Baseball 2016,PS4,2016,Sports,Konami Digital Entertainment,0,0,0.24,0,0.24
Just Dance 2017,PS4,2016,Misc,Ubisoft,0.08,0.12,0,0.04,0.24
Transformers: Devastation,PS4,2015,Action,Activision,0.11,0.09,0,0.04,0.24
Saints Row IV,XOne,2015,Action,Deep Silver,0.13,0.09,0,0.02,0.24
Farming Simulator 2015,XOne,2015,Simulation,Koch Media,0.13,0.09,0,0.02,0.24
Ride,PS4,2015,Racing,Milestone S.r.l.,0.04,0.13,0.03,0.03,0.24
Darksiders II,PS4,2015,Action-Adventure,Nordic Games,0.1,0.1,0,0.04,0.24
Tearaway Unfolded,PS4,2015,Platform,Sony Computer Entertainment,0.07,0.13,0,0.04,0.24
NBA Live 14,XOne,2013,Sports,EA Sports,0.19,0.02,0,0.02,0.24
Zumba Fitness: World Party,XOne,2013,Misc,Majesco Entertainment,0.17,0.05,0,0.02,0.24
DiRT 4,XOne,2017,Racing,Codemasters,0.11,0.1,0,0.02,0.23
Singstar Celebration,PS4,2017,Music,Sony Interactive Entertainment,0.04,0.15,0,0.03,0.23
Elex,PS4,2017,Role-Playing,THQ Nordic,0.03,0.16,0,0.04,0.23
Dead Island Definitive Collection,PS4,2016,Action,Deep Silver,0.09,0.08,0.03,0.03,0.23
RIGS: Mechanized Combat League,PS4,2016,Action,Sony Interactive Entertainment,0.11,0.06,0.02,0.04,0.23
Payday 2,XOne,2015,Shooter,505 Games,0.14,0.07,0,0.02,0.23
Tony Hawk's Pro Skater 5,PS4,2015,Sports,Activision,0.11,0.08,0,0.04,0.23
Transformer: Rise of the Dark Spark,PS4,2014,Shooter,Activision,0.08,0.11,0.01,0.04,0.23
Angry Birds: Star Wars,PS4,2013,Puzzle,Activision,0.11,0.09,0,0.04,0.23
Dead by Daylight,PS4,2017,Action,505 Games,0.11,0.06,0.02,0.04,0.22
Micro Machines: World Series,PS4,2017,Racing,Codemasters,0.03,0.16,0,0.03,0.22
Super Lucky's Tale,XOne,2017,Platform,Microsoft Studios,0.13,0.07,0,0.02,0.22
Outlast Trinity,PS4,2017,Action,Warner Bros. Interactive Entertainment,0.09,0.09,0,0.04,0.22
F1 2016 (Codemasters),XOne,2016,Racing,Codemasters,0.09,0.12,0,0.02,0.22
Deadpool,XOne,2015,Action,Activision,0.17,0.03,0,0.02,0.22
Zombie Army Trilogy,PS4,2015,Shooter,Rebellion Developments,0.06,0.13,0,0.03,0.22
Bladestorm: Nightmare,PS4,2015,Action,Tecmo Koei,0.11,0.04,0.03,0.03,0.22
The Amazing Spider-Man 2 (2014),XOne,2014,Action-Adventure,Activision,0.12,0.08,0,0.02,0.22
NBA Live 15,XOne,2014,Sports,Electronic Arts,0.18,0.02,0,0.02,0.22
Lords of the Fallen,XOne,2014,Role-Playing,Square Enix,0.1,0.1,0,0.02,0.22
The Wolf Among Us,PS4,2014,Adventure,Telltale Games,0.11,0.07,0,0.04,0.22
theHunter: Call of the Wild,XOne,2017,Shooter,Astragon,0.18,0,0,0.02,0.21
Dragon's Dogma,PS4,2017,Role-Playing,Capcom,0.07,0.07,0.03,0.03,0.21
NBA Live 18,XOne,2017,Sports,EA Sports,0.18,0,0,0.02,0.21
Ys VIII: Lacrimosa of Dana,PS4,2017,Role-Playing,NIS America,0.08,0.04,0.08,0.02,0.21
Senran Kagura: Peach Beach Splash,PS4,2017,Action,PQube,0.09,0.02,0.08,0.02,0.21
Just Dance 2018,XOne,2017,Music,Ubisoft,0.15,0.04,0,0.02,0.21
DiRT Rally,XOne,2016,Racing,Codemasters,0.12,0.08,0,0.02,0.21
Homefront: The Revolution,XOne,2016,Shooter,Deep Silver,0.1,0.09,0,0.02,0.21
EVE: Valkyrie,PS4,2016,Shooter,Sony Interactive Entertainment,0.11,0.06,0,0.04,0.21
7 Days to Die,PS4,2016,Action,Telltale Games,0.09,0.08,0,0.03,0.21
NBA Live 16,PS4,2015,Sports,EA Sports,0.13,0.05,0,0.04,0.21
State of Decay,XOne,2015,Action-Adventure,Microsoft Studios,0.14,0.05,0,0.02,0.21
Bound By Flame,PS4,2014,Action,Focus Home Interactive,0.08,0.09,0,0.04,0.21
Dynasty Warriors 8: Empires,PS4,2014,Misc,Tecmo Koei,0.07,0.07,0.04,0.03,0.21
Agents of Mayhem,PS4,2017,Action,Deep Silver,0.08,0.08,0,0.03,0.2
Project CARS 2,XOne,2017,Racing,Namco Bandai Games,0.01,0.18,0,0.01,0.2
Eagle Flight,PS4,2016,Adventure,Ubisoft,0.09,0.08,0,0.03,0.2
Batman: Return to Arkham,XOne,2016,Action,Warner Bros. Interactive Entertainment,0.12,0.06,0,0.02,0.2
MotoGP 14 ,PS4,2014,Racing,Milestone S.r.l.,0.05,0.11,0,0.03,0.2
Godzilla (2015),PS4,2014,Action,Namco Bandai Games,0.11,0.03,0.03,0.03,0.2
Sleeping Dogs,XOne,2014,Action-Adventure,Square Enix,0.1,0.09,0,0.02,0.2
Elite: Dangerous,PS4,2017,Simulation,Frontier Developments,0.06,0.1,0,0.03,0.19
The Surge,PS4,2017,Action,Koch Media,0.07,0.08,0.01,0.03,0.19
F1 2017,XOne,2017,Racing,Koch Media,0.04,0.13,0,0.01,0.19
XCOM 2,XOne,2016,Strategy,2K Games,0.15,0.02,0,0.02,0.19
Mirror's Edge 2,XOne,2016,Platform,Electronic Arts,0.11,0.06,0,0.02,0.19
One Piece: Burning Blood,XOne,2016,Fighting,Namco Bandai Games,0.11,0.07,0,0.02,0.19
Batman: A Telltale Game Series,PS4,2016,Adventure,Telltale Games,0.09,0.07,0,0.03,0.19
Dishonored,XOne,2015,Action,Bethesda Softworks,0.13,0.05,0,0.02,0.19
Toukiden Kiwami,PS4,2015,Action,Tecmo Koei,0.06,0.07,0.03,0.03,0.19
Fantasia: Music Evolved,XOne,2014,Music,Disney Interactive Studios,0.14,0.03,0,0.02,0.19
Singstar: Ultimate Party,PS4,2014,Music,Sony Computer Entertainment,0,0.16,0,0.03,0.19
Resident Evil: Revelations,PS4,2017,Action,Capcom,0.06,0.06,0.04,0.02,0.18
Sniper: Ghost Warrior 3,XOne,2017,Shooter,City Interactive,0.11,0.05,0,0.02,0.18
Cities: Skylines,XOne,2017,Simulation,Deep Silver,0.13,0.03,0,0.02,0.18
Senran Kagura: Estival Versus,PS4,2015,Action,Marvelous Interactive,0.08,0,0.09,0.02,0.18
MotoGP 15,PS4,2015,Racing,Milestone S.r.l.,0,0.13,0.04,0.02,0.18
